A-1 B-2 	 B-2 B-3 	 A: 1   	 B: 7   	 A Winners: [([B],1)]                      	 B Winners: [([B],3)]
A-1 B-2 	 B-3 A-1 	 A: 1   	 B: 21  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],10)]
A-1 B-2 	 B-3 A-2 	 A: 1   	 B: 41  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],15)]
A-1 B-2 	 B-3 A-3 	 A: 33  	 B: 163 	 A Winners: [([A],3),([A,B],1),([B],5)]    	 B Winners: [([A],13),([A,B],13),([B],22)]
A-1 B-2 	 B-3 B-1 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-2 	 B-3 B-2 	 A: 1   	 B: 7   	 A Winners: [([B],1)]                      	 B Winners: [([B],3)]
A-1 B-2 	 B-3 B-3 	 A: 1   	 B: 7   	 A Winners: [([B],1)]                      	 B Winners: [([B],3)]
A-1 B-3 	 A-1 A-1 	 A: 1   	 B: 13  	 A Winners: [([A],1)]                      	 B Winners: [([A,B],2),([B],4)]
A-1 B-3 	 A-1 A-2 	 A: 1   	 B: 31  	 A Winners: [([A],1)]                      	 B Winners: [([A,B],4),([B],6)]
A-1 B-3 	 A-1 A-3 	 A: 1   	 B: 43  	 A Winners: [([A],1)]                      	 B Winners: [([A],7),([A,B],5)]
A-1 B-3 	 A-1 B-1 	 A: 1   	 B: 5   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],2)]
A-1 B-3 	 A-1 B-2 	 A: 1   	 B: 13  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],6)]
A-1 B-3 	 A-1 B-3 	 A: 1   	 B: 17  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],8)]
A-1 B-3 	 A-2 A-1 	 A: 1   	 B: 21  	 A Winners: [([A],1)]                      	 B Winners: [([A,B],2),([B],4)]
